SPEFI 0x8c2d
MRNFI 0x8c30
MDLFI 0x8c33
UKPAR 0x8c43
UDDEV 0x8c44
USUNI 0x8c45
EWLIM 0x8c50
EDIER 0x8c51
CLTHI 0x8c60
DFCEN 0x8c6c
UKFNC 0x8c70
UKTAG 0x8c71
NWTAG 0x8c72
NAUT 0x8c73
CLCNG 0x8c74
DTRER 0x8c78
NOVAL 0x8c79
MBDCN 0x8c7a
ILADR 0x8c7b
ILDWD 0x8c7c
NOMIR 0x8c7e
RSPQE 0x8c8a
APSPF 0x8cc7
UESUS 0x8cf5
SUSCN 0x8cff
RUSCN 0x8d72
FDFDI 0x8dda
FDINA 0x8ddc
WDIEN 0x8e46
GDIEN 0x8e49
GNAEN 0x8e4c
RESDI 0x8f01
RELDI 0x8f03
500RD 0x8f1c
500WD 0x8f1e
RDPAG 0x8f27
WDPAG 0x8f29
COPAG 0x9028
DELPG 0x913a
MGFIL 0x920b
DEABF 0x920d
FOBJN 0x9288
FOPFN 0x928a
SDRUS 0x9341
MFFSC 0x9373
FFMCH 0x9536
