NIL 0x59b0
ISTCK 0x59d4
CHSFI 0x59dd
CHSHS 0x59fe
CNVBYADR 0x5a1c
DBSPR 0x5a2b
MINBT 0x5a48
ISPHE 0x5a5b
RSPHE 0x5a5d
MNDCN 0x5a6c
CNVWADR 0x5a70
MOUTB 0x5a78
DOS3F 0x5a7b
STS3F 0x5ab7
RWREG 0x5abf
DOOVE 0x5ad8
GTMAG 0x5afc
CIACC 0x5b14
CHMFI 0x5b54
GTNRS 0x5b6d
STNRS 0x5b7c
RFUNC 0x5b90
CHSUF 0x5ba9
CHKUN 0x5bcc
SMFXE 0x5c5d
DOFIX 0x5d22
COMFI 0x5d67
GNXAR 0x5d7d
CDAFI 0x5d7e
FMXMP 0x5daa
5FLGA 0x5dc7
FLGOR 0x5dd7
FLGAN 0x5ddf
FLGSU 0x5de7
FLGAD 0x5def
ANDOR 0x5df7
IMORF 0x5e08
CLALL 0x5e24
CLMMB 0x5e49
STMMB 0x5e4e
MUSTM 0x5e7b
STERT 0x5e8a
LMUST 0x5ea5
DISPR 0x5ec1
DADRC 0x5ed8
SESCL 0x5ee2
PACK 0x5efc
UNPAC 0x5f13
8IAD 0x5f2b
8ISB 0x5f30
8IMU 0x5f36
CDRTC 0x5f57
SXONO 0x5f5a
DGE 0x5f5e
DGR 0x5f67
DEQ 0x5f70
DLE 0x5f77
DLT 0x5f80
DNE 0x5f89
8IDIV 0x5f93
YSETP 0x5fc7
XSETP 0x5fcc
SETPL 0x5fe1
OSCPR 0x5ff2
SETMP 0x5ff7
NS5DP 0x6000
STRUN 0x6009
XCOMP 0x600b
COMPS 0x6010
ERLIS 0x601b
SCANS 0x602f
ALTAB 0x6043
ABLOO 0x6049
SCHAR 0x6057
SCPRO 0x6072
ABL2 0x60a8
ABL1 0x60aa
CH5ER 0x60bd
SBAUD 0x60c0
ENSCO 0x60dc
REMCM 0x60e1
BITUT 0x60eb
EOUTT 0x60fb
LMASK 0x60ff
HEXUT 0x6105
EOCTU 0x6131
DDECU 0x6132
D5DEC 0x6138
SCSFS 0x6139
EDTDE 0x6142
EDECU 0x6146
STOPB 0x614e
ABENT 0x615c
ECRLF 0x6166
ETCO2 0x616d
OUTUS 0x6175
ETCO 0x6176
2DECU 0x6178
3DECU 0x617d
4DECU 0x6182
5DECU 0x6187
EENTR 0x618b
DECUT 0x618e
ELEA3 0x619f
ELEAX 0x61ab
ELEAV 0x61c1
2OCTU 0x61c5
SPRIN 0x61c8
3OCTU 0x61ca
4OCTU 0x61cf
5OCTU 0x61d4
DATGT 0x61ee
ALOCT 0x61ff
ZOCTU 0x6204
OCTUT 0x6209
EESYS 0x6213
CHIOB 0x6220
ZDOCT 0x6249
DOCTU 0x624e
SPDOC 0x627c
AOUTT 0x62a9
COUTT 0x62ae
OUTRC 0x62b3
WRSPA 0x62db
WRPOI 0x62e1
OUTCH 0x62ed
ERMEM 0x62f0
CDATC 0x630d
SDUPL 0x6313
XINST 0x6315
XMREM 0x633a
XSPRI 0x633f
SPRIR 0x6344
PRIRT 0x634b
SVSPE 0x6352
DUMF 0x635a
WAIF 0x635d
XMCHK 0x636e
CCCOM 0x639c
PR2DI 0x63a3
PRITI 0x63b0
CONV 0x63d0
SENCT 0x63e0
CENCT 0x63e2
SPCON 0x63e6
XLOAD 0x6418
MNSCF 0x642b
PRN5P 0x644d
PCPRI 0x6478
EMCTX 0x6485
NLOAD 0x6488
SGWPE 0x6489
S2DEC 0x649a
S3DEC 0x649f
S4DEC 0x64a4
SDECU 0x64a9
MNGCF 0x64d5
ASOUT 0x64da
SOUTT 0x64e0
SOUTR 0x64e6
DFHDL 0x64ff
MSTOR 0x6500
LIHDL 0x6503
INIST 0x650d
SOUTC 0x6510
